timestamp,open,high,low,close,volume,datetime
1700000000000,50000.0,50113.16926071937,49935.23114618993,50099.34283060225,961.5149282040127,2023-11-14 22:13:20
1700003600000,50099.34283060225,50122.75652629716,49894.59087410684,50052.51215565758,583.7173645764544,2023-11-14 23:13:20
1700007200000,50052.51215565758,50106.76816001618,49912.27550918935,49958.61727847059,432.86487678512844,2023-11-15 00:13:20
1700010800000,49958.61727847059,50198.33775724958,49786.12549521929,50007.0097327838,481.14376462048637,2023-11-15 01:13:20
1700014400000,50007.0097327838,50038.43446604333,49713.641101164794,49804.44350871692,906.1518506676457,2023-11-15 02:13:20
1700018000000,49804.44350871692,50120.150892549886,49797.69068824813,50097.57326250123,912.3740931067284,2023-11-15 03:13:20
1700021600000,50097.57326250123,50108.66552147222,49873.59735985397,49988.6967175962,387.84900917283596,2023-11-15 04:13:20
1700025200000,49988.6967175962,50017.866092575525,49808.398318389496,49868.568979612435,1126.1390922544688,2023-11-15 05:13:20
1700028800000,49868.568979612435,49974.34007250803,49783.61504345453,49865.869534664846,810.4218249855111,2023-11-15 06:13:20
1700032400000,49865.869534664846,50103.609266053776,49733.050929775,49907.6422536658,298.4306179345617,2023-11-15 07:13:20
1700036000000,49907.6422536658,50072.47239778387,49896.07742542698,50055.33556966488,350.5518477946444,2023-11-15 08:13:20
1700039600000,50055.33556966488,50127.31999050435,49713.56729449541,49759.63117159139,728.5611131094579,2023-11-15 09:13:20
1700043200000,49759.63117159139,50004.65884504136,49727.22277465191,49828.354829505086,392.54114020815825,2023-11-15 10:13:20
1700046800000,49828.354829505086,49889.522458389176,49589.870477194294,49692.97042944389,665.6400595580992,2023-11-15 11:13:20
1700050400000,49692.97042944389,49723.89166702901,49492.000581659006,49525.12692479936,687.7725635611796,2023-11-15 12:13:20
1700054000000,49525.12692479936,49543.692822465746,49318.6585798297,49429.292077230304,798.1033120403354,2023-11-15 13:13:20
1700057600000,49429.292077230304,49727.42124456623,49422.09106507227,49591.797241709144,701.7664489460121,2023-11-15 14:13:20
1700061200000,49591.797241709144,49728.63642217918,49555.6576811583,49664.12444671867,969.0182832329846,2023-11-15 15:13:20
1700064800000,49664.12444671867,49820.58881230007,49394.9847284877,49656.95923889668,610.951252187612,2023-11-15 16:13:20
1700068400000,49656.95923889668,49704.269387590895,49647.783161243126,49674.36865254431,1193.7844573004463,2023-11-15 17:13:20
1700072000000,49674.36865254431,49710.07990969549,49482.644870502656,49630.43427497681,459.1351091368237,2023-11-15 18:13:20
1700075600000,49630.43427497681,49680.60997933526,49377.195342627965,49468.735554398176,364.37555482984226,2023-11-15 19:13:20
1700079200000,49468.735554398176,49520.06229770951,49353.075758709965,49362.78351364477,684.3224952664445,2023-11-15 20:13:20
1700082800000,49362.78351364477,49395.54972830455,49183.16207955608,49222.372894869295,931.7574740660593,2023-11-15 21:13:20
1700086400000,49222.372894869295,49307.7024775002,49221.86154920505,49281.59695028221,317.29356668757345,2023-11-15 22:13:20
1700090000000,49281.59695028221,49323.661482558746,48964.251350219456,48998.52280187213,601.1386346108095,2023-11-15 23:13:20
1700093600000,48998.52280187213,49038.92788755359,48777.64706941787,48966.26565953893,287.2889064159195,2023-11-16 00:13:20
1700097200000,48966.26565953893,49025.2203292601,48774.38853800902,49017.77573768348,213.25693772460843,2023-11-16 01:13:20
1700100800000,49017.77573768348,49276.14599092022,48998.53964120537,49029.821779671685,350.77367116680625,2023-11-16 02:13:20
1700104400000,49029.821779671685,49146.68958343364,48908.597144279134,49022.879425730636,575.9665163433871,2023-11-16 03:13:20
1700108000000,49022.879425730636,49272.024560618716,48882.59999463703,49181.085815139246,900.9255313961404,2023-11-16 04:13:20
1700111600000,49181.085815139246,49517.5027964803,49082.03218262618,49298.4572338993,483.14886480138597,2023-11-16 05:13:20
1700115200000,49298.4572338993,49368.73507232845,49143.39089079269,49318.38750691683,234.28148740301367,2023-11-16 06:13:20
1700118800000,49318.38750691683,49365.746749980346,49013.984340748226,49105.92676417161,974.9672025087697,2023-11-16 07:13:20
1700122400000,49105.92676417161,49138.13291579217,48867.924383967395,48949.27610570436,815.4321582169777,2023-11-16 08:13:20
1700126000000,48949.27610570436,49125.482368053425,48788.52778224824,48994.768092625185,292.3169292661521,2023-11-16 09:13:20
1700129600000,48994.768092625185,49124.9269386526,48871.07302153738,49046.744651474866,860.2283065421382,2023-11-16 10:13:20
1700133200000,49046.744651474866,49180.831431921564,49021.695366440275,49151.13296459825,373.22410474848783,2023-11-16 11:13:20
